PMID,Title,Journal,Authors,Abstract,DOI,PubMedURL,SciHub,PathwayName,Error
11999413,"Degradation pathways of trichloroethylene and 1,1,1-trichloroethane by Mycobacterium sp. TA27.","Bioscience, biotechnology, and biochemistry","Hashimoto A, Iwasaki K, Nakasugi N, Nakajima M, Yagi O","We analyzed the kinetics and metabolic pathways of trichloroethylene and 1,1,1-trichloroethane degradation by the ethane-utilizing Mycobacterium sp. TA27. The apparent Vmax and Km of trichloroethylene were 9.8 nmol min(-1) mg of cells(-1) and 61.9 microM, respectively. The apparent Vmax and Km of 1,1,1-trichloroethane were 0.11 nmol min(-1) mg of cells(-1) and 3.1 microM, respectively. 2,2,2-trichloroethanol, trichloroacetic acid, chloral, and dichloroacetic acid were detected as metabolites of trichloroethylene. 2,2,2-trichloroethanol, trichloroacetic acid, and dichloroacetic acid were also detected as metabolites of 1,1,1-trichloroethane. The amounts of 2,2,2-trichloroethanol, trichloroacetic acid, chloral, and dichloroacetic acid derived from the degradation of 3.60 micromol trichloroethylene were 0.16 micromol (4.4%), 0.11 micromol (3.1%), 0.02 micromol (0.6%), and 0.02 micromol (0.6%), respectively. The amounts of 2,2,2-trichloroethanol, trichloroacetic acid and dichloroacetic acid derived from the degradation of 1.73 micromol 1,1,1-trichloroethane were 1.48 micromol (85.5%), 0.22 micromol (12.7%), and 0.02 micromol (1.2%), respectively. More than 90% of theoretical total chloride was released in trichloroethylene degradation. Chloral and 2,2,2-trichloroethanol were transformed into each other, and were finally converted to trichloroacetic acid, and dichloroacetic acid. Trichloroacetic acid and dichloroacetic acid were not degraded by strain TA27.",10.1271/bbb.66.385,https://pubmed.ncbi.nlm.nih.gov/11999413,https://sci-hub.se/10.1271/bbb.66.385,"1,1,1-Trichloroethane (an/aerobic)",
12355460,"Kinetic and inhibition studies for the aerobic cometabolism of 1,1,1-trichloroethane, 1,1-dichloroethylene, and 1,1-dichloroethane by a butane-grown mixed culture.",Biotechnology and bioengineering,"Kim Y, Arp DJ, Semprini L","Batch kinetic and inhibition studies were performed for the aerobic cometabolism of 1,1,1-trichloroethane (1,1,1-TCA), 1,1-dichloroethylene (1,1-DCE), and 1,1-dichloroethane (1,1-DCA) by a butane-grown mixed culture. These chlorinated aliphatic hydrocarbons (CAHs) are often found together as cocontaminants in groundwater. The maximum degradation rates (k(max)) and half-saturation coefficients (K(s)) were determined in single compound kinetic tests. The highest k(max) was obtained for butane (2.6 micromol/mg TSS/h) followed by 1,1-DCE (1.3 micromol/mg TSS/h), 1,1-DCA (0.49 micromol/mg TSS/h), and 1,1,1-TCA (0.19 micromol/mg TSS/h), while the order of K(s) from the highest to lowest was 1,1-DCA (19 microM), butane (19 microM), 1,1,1-TCA (12 microM) and 1,1-DCE (1.5 microM). The inhibition types were determined using direct linear plots, while inhibition coefficients (K(ic) and K(iu)) were estimated by nonlinear least squares regression (NLSR) fits to the kinetic model of the identified inhibition type. Two different inhibition types were observed among the compounds. Competitive inhibition among CAHs was indicated from direct linear plots, and the CAHs also competitively inhibited butane utilization. 1,1-DCE was a stronger inhibitor than the other CAHs. Mixed inhibition of 1,1,1-TCA, 1,1-DCA, and 1,1-DCE transformations by butane was observed. Thus, both competitive and mixed inhibitions are important in cometabolism of CAHs by this butane culture. For competitive inhibition between CAHs, the ratio of the K(s) values was a reasonable indicator of competitive inhibition observed. Butane was a strong inhibitor of CAH transformation, having a much lower inhibition coefficient than the K(s) value of butane, while the CAHs were weak inhibitors of butane utilization. Model simulations of reactor systems where both the growth substrate and the CAHs are present indicate that reactor performance is significantly affected by inhibition type and inhibition coefficients. Thus, determining inhibition type and measuring inhibition coefficients is important in designing CAH treatment systems.",10.1002/bit.10397,https://pubmed.ncbi.nlm.nih.gov/12355460,https://sci-hub.se/10.1002/bit.10397,"1,1,1-Trichloroethane (an/aerobic)",
2394686,Oxidation of monohalogenated ethanes and n-chlorinated alkanes by whole cells of Nitrosomonas europaea.,Journal of bacteriology,"Rasche ME, Hicks RE, Hyman MR, Arp DJ","We have investigated the substrate specificity of ammonia monooxygenase in whole cells of the nitrifying bacterium Nitrosomonas europaea for a number of aliphatic halogenated hydrocarbons. To determine the effect of the halogen substituent and carbon chain length on substrate reactivity, we measured the rates of oxidation of the monohalogenated ethanes (fluoroethane, chloroethane, bromoethane, and iodoethane) and n-chlorinated C1 to C4 alkanes by whole cells of N. europaea. For monohalogenated ethanes, acetaldehyde was the major organic product and little or none of any of the alternate predicted products (2-halogenated alcohols) were detected. The maximum rate of haloethane oxidation increased with decreasing halogen molecular weight from iodoethane to chloroethane (19 to 221 nmol/min per mg of protein). In addition, the amount of substrate required for the highest rate of haloethane oxidation increased with decreasing halogen molecular weight. For the n-chlorinated alkanes, the rate of dechlorination, as measured by the appearance of the corresponding aldehyde product, was greatest for chloroethane and decreased dramatically for chloropropane and chlorobutane (118, 4, and 8 nmol of aldehyde formed per min per mg of protein, respectively). The concentration profiles for halocarbon oxidation by ammonia monooxygenase showed apparent substrate inhibition when ammonia was used as the reductant source. When hydrazine was used as the electron donor, no substrate inhibition was observed, suggesting that the inhibition resulted from reductant limitation.",10.1128/jb.172.9.5368-5373.1990,https://pubmed.ncbi.nlm.nih.gov/2394686,https://sci-hub.se/10.1128/jb.172.9.5368-5373.1990,"1,1,1-Trichloroethane (an/aerobic)",
10508091,Utilization of trihalogenated propanes by Agrobacterium radiobacter AD1 through heterologous expression of the haloalkane dehalogenase from Rhodococcus sp. strain M15-3.,Applied and environmental microbiology,"Bosma T, Kruizinga E, de Bruin EJ, Poelarends GJ, Janssen DB","Trihalogenated propanes are toxic and recalcitrant organic compounds. Attempts to obtain pure bacterial cultures able to use these compounds as sole carbon and energy sources were unsuccessful. Both the haloalkane dehalogenase from Xanthobacter autotrophicus GJ10 (DhlA) and that from Rhodococcus sp. strain m15-3 (DhaA) were found to dehalogenate trihalopropanes to 2,3-dihalogenated propanols, but the kinetic properties of the latter enzyme are much better. Broad-host-range dehalogenase expression plasmids, based on RSF1010 derivatives, were constructed with the haloalkane dehalogenase from Rhodococcus sp. strain m15-3 under the control of the heterologous promoters P(lac), P(dhlA), and P(trc). The resulting plasmids yielded functional expression in several gram-negative bacteria. A catabolic pathway for trihalopropanes was designed by introducing these broad-host-range dehalogenase expression plasmids into Agrobacterium radiobacter AD1, which has the ability to utilize dihalogenated propanols for growth. The recombinant strain AD1(pTB3), expressing the haloalkane dehalogenase gene under the control of the dhlA promoter, was able to utilize both 1,2,3-tribromopropane and 1,2-dibromo-3-chloropropane as sole carbon sources. Moreover, increased expression of the haloalkane dehalogenase resulted in elevated resistance to trihalopropanes.",10.1128/AEM.65.10.4575-4581.1999,https://pubmed.ncbi.nlm.nih.gov/10508091,https://sci-hub.se/10.1128/AEM.65.10.4575-4581.1999,"1,2,3-Tribromopropane",
1793801,Effect of bromine and chlorine positioning in the induction of renal and testicular toxicity by halogenated propanes.,Chemical research in toxicology,"Låg M, Søderlund EJ, Omichinski JG, Brunborg G, Holme JA, Dahl JE, Nelson SD, Dybing E","A series of halogenated propanes were studied for renal and testicular necrogenic effects in the rat and correlated to their ability to induce in vivo renal and testicular DNA damage and in vitro testicular DNA damage. 1,2-Dibromo-3-chloropropane (DBCP) and 1,2,3-tribromopropane were most potent in causing organ damage in both kidney and testes. Extensive necrosis was evident at 85 mumol/kg in kidney and at 170 mumol/kg in testis. The dibromomonochlorinated analogue 1,3-dibromo-2-chloropropane was less organ toxic than DBCP and 1,2,3-tribromopropane, but induced more organ damage than the dichloromonobrominated analogues 1-bromo-2,3-dichloropropane and 1,3-dichloro-2-bromopropane. Dihalogenated propanes were even less necrogenic. These observed differences in toxic potency between the halogenated propanes could not be explained by relative differences in tissue concentrations. The ability of the halogenated propanes to induce DNA damage in vivo correlated well with their ability to induce organ damage. However, DNA damage occurred at lower doses and at a shorter period of exposure than organ necrosis. This indicates that DNA damage might be an initial event in the development of organ necrosis by halogenated propanes in general. Further, testicular DNA damage induced by the halogenated propanes in vivo correlated well with the DNA damage observed in isolated testicular cells in vitro, showing that toxicity was due to in situ activation. The numbers, positions, and the types of halogen substituents appear to be important determinants in causing DNA damage and necrogenic effects.(ABSTRACT TRUNCATED AT 250 WORDS)",10.1021/tx00023a007,https://pubmed.ncbi.nlm.nih.gov/1793801,https://sci-hub.se/10.1021/tx00023a007,"1,2,3-Tribromopropane",
1793801,Effect of bromine and chlorine positioning in the induction of renal and testicular toxicity by halogenated propanes.,Chemical research in toxicology,"Låg M, Søderlund EJ, Omichinski JG, Brunborg G, Holme JA, Dahl JE, Nelson SD, Dybing E","A series of halogenated propanes were studied for renal and testicular necrogenic effects in the rat and correlated to their ability to induce in vivo renal and testicular DNA damage and in vitro testicular DNA damage. 1,2-Dibromo-3-chloropropane (DBCP) and 1,2,3-tribromopropane were most potent in causing organ damage in both kidney and testes. Extensive necrosis was evident at 85 mumol/kg in kidney and at 170 mumol/kg in testis. The dibromomonochlorinated analogue 1,3-dibromo-2-chloropropane was less organ toxic than DBCP and 1,2,3-tribromopropane, but induced more organ damage than the dichloromonobrominated analogues 1-bromo-2,3-dichloropropane and 1,3-dichloro-2-bromopropane. Dihalogenated propanes were even less necrogenic. These observed differences in toxic potency between the halogenated propanes could not be explained by relative differences in tissue concentrations. The ability of the halogenated propanes to induce DNA damage in vivo correlated well with their ability to induce organ damage. However, DNA damage occurred at lower doses and at a shorter period of exposure than organ necrosis. This indicates that DNA damage might be an initial event in the development of organ necrosis by halogenated propanes in general. Further, testicular DNA damage induced by the halogenated propanes in vivo correlated well with the DNA damage observed in isolated testicular cells in vitro, showing that toxicity was due to in situ activation. The numbers, positions, and the types of halogen substituents appear to be important determinants in causing DNA damage and necrogenic effects.(ABSTRACT TRUNCATED AT 250 WORDS)",10.1021/tx00023a007,https://pubmed.ncbi.nlm.nih.gov/1793801,https://sci-hub.se/10.1021/tx00023a007,"1,2,3-Tribromopropane",
7110159,"Dominant lethal studies in rats with 1,2-dibromo-3-chloropropane and its structurally related compounds.",Mutation research,"Saito-Suzuki R, Teramoto S, Shirasu Y","Dominant lethal studies were conducted in SD male rats with 5 halogenated 3-carbon compounds that are structurally similar to a known mutagen 1,2-dibromo-3-chloropropane (DBCP). 1,2,3-Tribromopropane induced dominant lethal mutation especially in the early spermatid stage. This finding was almost the same as that obtained after DBCP treatment. The estimated dominant lethal mutation index of a group treated with 1,2-dibromopropane was marginal at week 1 of testing. On the other hand, bromopropane, 1,2,3-trichloropropane and 1-chloropropane produced negative responses for induction of dominant lethals.",10.1016/0165-1218(82)90125-2,https://pubmed.ncbi.nlm.nih.gov/7110159,https://sci-hub.se/10.1016/0165-1218(82)90125-2,"1,2,3-Tribromopropane",
10508091,Utilization of trihalogenated propanes by Agrobacterium radiobacter AD1 through heterologous expression of the haloalkane dehalogenase from Rhodococcus sp. strain M15-3.,Applied and environmental microbiology,"Bosma T, Kruizinga E, de Bruin EJ, Poelarends GJ, Janssen DB","Trihalogenated propanes are toxic and recalcitrant organic compounds. Attempts to obtain pure bacterial cultures able to use these compounds as sole carbon and energy sources were unsuccessful. Both the haloalkane dehalogenase from Xanthobacter autotrophicus GJ10 (DhlA) and that from Rhodococcus sp. strain m15-3 (DhaA) were found to dehalogenate trihalopropanes to 2,3-dihalogenated propanols, but the kinetic properties of the latter enzyme are much better. Broad-host-range dehalogenase expression plasmids, based on RSF1010 derivatives, were constructed with the haloalkane dehalogenase from Rhodococcus sp. strain m15-3 under the control of the heterologous promoters P(lac), P(dhlA), and P(trc). The resulting plasmids yielded functional expression in several gram-negative bacteria. A catabolic pathway for trihalopropanes was designed by introducing these broad-host-range dehalogenase expression plasmids into Agrobacterium radiobacter AD1, which has the ability to utilize dihalogenated propanols for growth. The recombinant strain AD1(pTB3), expressing the haloalkane dehalogenase gene under the control of the dhlA promoter, was able to utilize both 1,2,3-tribromopropane and 1,2-dibromo-3-chloropropane as sole carbon sources. Moreover, increased expression of the haloalkane dehalogenase resulted in elevated resistance to trihalopropanes.",10.1128/AEM.65.10.4575-4581.1999,https://pubmed.ncbi.nlm.nih.gov/10508091,https://sci-hub.se/10.1128/AEM.65.10.4575-4581.1999,"1,2,3-Tribromopropane",
1987135,"Cloning and characterization of plasmid-encoded genes for the degradation of 1,2-dichloro-, 1,4-dichloro-, and 1,2,4-trichlorobenzene of Pseudomonas sp. strain P51.",Journal of bacteriology,"van der Meer JR, van Neerven AR, de Vries EJ, de Vos WM, Zehnder AJ","Pseudomonas sp. strain P51 is able to use 1,2-dichlorobenzene, 1,4-dichlorobenzene, and 1,2,4-trichlorobenzene as sole carbon and energy sources. Two gene clusters involved in the degradation of these compounds were identified on a catabolic plasmid, pP51, with a size of 110 kb by using hybridization. They were further characterized by cloning in Escherichia coli, Pseudomonas putida KT2442, and Alcaligenes eutrophus JMP222. Expression studies in these organisms showed that the upper-pathway genes (tcbA and tcbB) code for the conversion of 1,2-dichlorobenzene and 1,2,4-trichlorobenzene to 3,4-dichlorocatechol and 3,4,6-trichlorocatechol, respectively, by means of a dioxygenase system and a dehydrogenase. The lower-pathway genes have the order tcbC-tcbD-tcbE and encode a catechol 1,2-dioxygenase II, a cycloisomerase II, and a hydrolase II, respectively. The combined action of these enzymes degrades 3,4-dichlorocatechol and 3,4,6-trichlorocatechol to a chloromaleylacetic acid. The release of one chlorine atom from 3,4-dichlorocatechol takes place during lactonization of 2,3-dichloromuconic acid.",10.1128/jb.173.1.6-15.1991,https://pubmed.ncbi.nlm.nih.gov/1987135,https://sci-hub.se/10.1128/jb.173.1.6-15.1991,"1,2,4-Trichlorobenzene (an/aerobic)",
7765836,"Genetics and biochemistry of 1,2-dichloroethane degradation.",Biodegradation,"Janssen DB, van der Ploeg JR, Pries F","Dichloroethane (1,2-DCE) is a synthetic compound that is not known to be formed naturally. Nevertheless, several pure microbial cultures are able to use it as a sole carbon source for growth. Degradation of 1,2-DCE proceeds via 2-chloroethanol, chloroacetaldehyde and chloroacetate to glycolate. The genes encoding the enzymes responsible for the conversion of 1,2-DCE to glycolic acid have been isolated. The haloalkane dehalogenase and an aldehyde dehydrogenase are plasmid encoded. Two other enzymes, the alcohol dehydrogenase and the haloacid dehalogenase, are chromosomally encoded. Sequence analysis indicates that the haloacid dehalogenase belongs to the L-specific 2-chloroproprionic acid dehalogenases. From the three-dimensional structure and sequence similarities, the haloalkane dehalogenase appears to be a member of the alpha/beta hydrolase fold hydrolytic enzymes, of which several are involved in the degradation of aromatic and aliphatic xenobiotic compounds.",10.1007/BF00696463,https://pubmed.ncbi.nlm.nih.gov/7765836,https://sci-hub.se/10.1007/BF00696463,"1,2-Dichloroethane",
8565904,Genetic adaptation of bacteria to halogenated aliphatic compounds.,Environmental health perspectives,"Janssen DB, van der Ploeg JR, Pries F","The bacterial degradation and detoxification of chlorinated xenobiotic compounds requires the production of enzymes that are capable of recognizing and converting compounds which do not occur at significant concentrations in nature. We have studied the catabolic route of 1,2-dichloroethane as an example of a pathway for the conversion of such a synthetic compound. In strains of Xanthobacter and Ancylobacter that have been isolated on 1,2-dichloroethane, the first catabolic step is catalyzed by a hydrolytic haloalkane dehalogenase. The enzyme converts 1,2-dichloroethane to 2-chloroethanol but is also active with many other environmentally important haloalkanes such as methylchloride, methylbromide, 1,2-dibromoethane, epichlorohydrin, and 1,3-dichloropropene. Further degradation of 2-chloroethanol proceeds by oxidation to the carboxylic acid and dehalogenation to glycolate. The aldehyde dehydrogenase prevents toxicity of the reactive chloroacetaldehyde that is formed as an intermediate and is necessary for establishing a functional 2-chloroethanol degradative pathway in a strain that is not capable of growth on this compound.",10.1289/ehp.95103s429,https://pubmed.ncbi.nlm.nih.gov/8565904,https://sci-hub.se/10.1289/ehp.95103s429,"1,2-Dichloroethane",
